omega,omega_reference_ratio,length,separation_speed,omega_cd_over_omega,omega_cd,gliding_contact_occurs,tau_contact_supported,tau_contact,tau_contact_status
0.785398163397448,0.5,2,1,0,0,no,no,,undetermined_from_source_note
1.17809724509617,0.75,2,1,0,0,no,no,,undetermined_from_source_note
1.49225651045515,0.95,2,1,0,0,no,no,,undetermined_from_source_note
1.5707963267949,1,2,1,0,0,no,no,,undetermined_from_source_note
1.64933614313464,1.05,2,1,0,0,yes,no,,undetermined_from_source_note
1.96349540849362,1.25,2,1,0,0,yes,no,,undetermined_from_source_note
2.35619449019234,1.5,2,1,0,0,yes,no,,undetermined_from_source_note
0.785398163397448,0.5,2,1,0.25,0.196349540849362,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.17809724509617,0.75,2,1,0.25,0.294524311274042,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.49225651045515,0.95,2,1,0.25,0.373064127613787,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.5707963267949,1,2,1,0.25,0.392699081698725,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.64933614313464,1.05,2,1,0.25,0.41233403578366,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.96349540849362,1.25,2,1,0.25,0.490873852123405,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
2.35619449019234,1.5,2,1,0.25,0.589048622548085,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
0.785398163397448,0.5,2,1,0.5,0.392699081698724,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.17809724509617,0.75,2,1,0.5,0.589048622548085,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.49225651045515,0.95,2,1,0.5,0.746128255227575,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.5707963267949,1,2,1,0.5,0.78539816339745,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.64933614313464,1.05,2,1,0.5,0.82466807156732,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.96349540849362,1.25,2,1,0.5,0.98174770424681,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
2.35619449019234,1.5,2,1,0.5,1.17809724509617,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
0.785398163397448,0.5,2,1,0.75,0.589048622548086,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.17809724509617,0.75,2,1,0.75,0.883572933822127,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.49225651045515,0.95,2,1,0.75,1.11919238284136,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.5707963267949,1,2,1,0.75,1.17809724509618,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.64933614313464,1.05,2,1,0.75,1.23700210735098,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.96349540849362,1.25,2,1,0.75,1.47262155637021,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
2.35619449019234,1.5,2,1,0.75,1.76714586764425,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
0.785398163397448,0.5,2,1,1,0.785398163397448,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.17809724509617,0.75,2,1,1,1.17809724509617,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.49225651045515,0.95,2,1,1,1.49225651045515,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.5707963267949,1,2,1,1,1.5707963267949,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.64933614313464,1.05,2,1,1,1.64933614313464,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
1.96349540849362,1.25,2,1,1,1.96349540849362,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
2.35619449019234,1.5,2,1,1,2.35619449019234,ambiguous,no,,no_family_specific_gliding_or_duration_law_for_nonzero_omega_cd
